DT_ATENDIMENTO|ATENDIMENTOS
2022-01-01|126
2022-01-02|139
2022-01-03|129
2022-01-04|91
2022-01-05|117
2022-01-06|126
2022-01-07|105
2022-01-08|90
2022-01-09|112
2022-01-10|84
2022-01-11|79
2022-01-12|105
2022-01-13|118
2022-01-14|100
2022-01-15|91
2022-01-16|83
2022-01-17|106
2022-01-18|102
2022-01-19|78
2022-01-20|110
2022-01-21|86
2022-01-22|70
2022-01-23|78
2022-01-24|72
2022-01-25|83
2022-01-26|85
2022-01-27|82
2022-01-28|41
2022-01-29|48
2022-01-30|53
2022-01-31|75
2022-02-01|47
2022-02-02|48
2022-02-03|51
2022-02-04|51
2022-02-05|46
2022-02-06|50
2022-02-07|71
2022-02-08|55
2022-02-09|65
2022-02-10|71
2022-02-11|47
2022-02-12|68
2022-02-13|80
2022-02-14|108
2022-02-15|78
2022-02-16|92
2022-02-17|92
2022-02-18|91
2022-02-19|97
2022-02-20|100
2022-02-21|140
2022-02-22|133
2022-02-23|116
2022-02-24|167
2022-02-25|102
2022-02-26|106
2022-02-27|116
2022-02-28|138
2022-03-01|124
2022-03-02|140
2022-03-03|152
2022-03-04|113
2022-03-05|89
2022-03-06|113
2022-03-07|141
2022-03-08|112
2022-03-09|114
2022-03-10|117
2022-03-11|82
2022-03-12|138
2022-03-13|125
2022-03-14|139
2022-03-15|124
2022-03-16|132
2022-03-17|117
2022-03-18|114
2022-03-19|156
2022-03-20|157
2022-03-21|156
2022-03-22|145
2022-03-23|166
2022-03-24|177
2022-03-25|139
2022-03-26|173
2022-03-27|155
2022-03-28|162
2022-03-29|172
2022-03-30|153
2022-03-31|161
2022-04-01|123
2022-04-02|172
2022-04-03|161
2022-04-04|182
2022-04-05|177
2022-04-06|163
2022-04-07|177
2022-04-08|134
2022-04-09|155
2022-04-10|170
2022-04-11|199
2022-04-12|169
2022-04-13|178
2022-04-14|157
2022-04-15|175
2022-04-16|182
2022-04-17|155
2022-04-18|179
2022-04-19|174
2022-04-20|172
2022-04-21|215
2022-04-22|152
2022-04-23|136
2022-04-24|159
2022-04-25|228
2022-04-26|178
2022-04-27|141
2022-04-28|149
2022-04-29|140
2022-04-30|160
2022-05-01|143
2022-05-02|160
2022-05-03|180
2022-05-04|163
2022-05-05|149
2022-05-06|147
2022-05-07|138
2022-05-08|156
2022-05-09|168
2022-05-10|171
2022-05-11|183
2022-05-12|154
2022-05-13|138
2022-05-14|197
2022-05-15|158
2022-05-16|174
2022-05-17|153
2022-05-18|126
2022-05-19|172
2022-05-20|141
2022-05-21|185
2022-05-22|118
2022-05-23|180
2022-05-24|158
2022-05-25|196
2022-05-26|183
2022-05-27|172
2022-05-28|162
2022-05-29|188
2022-05-30|189
2022-05-31|166
2022-06-01|170
2022-06-02|155
2022-06-03|126
2022-06-04|116
2022-06-05|145
2022-06-06|175
2022-06-07|110
2022-06-08|140
